title,description,pursuing,stream
General Human Anatomy including Embryology and Histology , Studies the structure of the human body  particularly emphasizing the head and neck regions relevant to dentistry. ,graduation ,Bachelor of Dental Surgery (BDS)
General Human Physiology  Biochemistry  Nutrition and Dietetics , Focuses on the functions of the human body systems  the chemical processes within organisms  and the role of nutrition in health. ,graduation ,Bachelor of Dental Surgery (BDS)
Dental Anatomy and Oral Histology , Studies the morphology  structure  and development of teeth and oral tissues. This often includes tooth carving and the study of enamel  dentin  pulp  and periodontium. ,graduation ,Bachelor of Dental Surgery (BDS)
General Pathology and Microbiology , Examines disease mechanisms and microorganisms (bacteria  viruses  fungi) relevant to oral and systemic health. ,graduation ,Bachelor of Dental Surgery (BDS)
General and Dental Pharmacology and Therapeutics , Covers the knowledge of drugs  their actions  and their use in treating dental and medical conditions. ,graduation ,Bachelor of Dental Surgery (BDS)
Dental Materials , Studies the properties  applications  and handling of various materials used in dentistry  such as gypsum products and impression materials. ,graduation ,Bachelor of Dental Surgery (BDS)
Preclinical Conservative Dentistry , Introduces techniques for cavity preparation and restoration using dental instruments and materials. ,graduation ,Bachelor of Dental Surgery (BDS)
Preclinical Prosthodontics & Crown and Bridge , Focuses on the basic principles of replacing missing teeth  including the fabrication of complete dentures and partial dentures ,graduation ,Bachelor of Dental Surgery (BDS)
Oral Pathology and Oral Microbiology , Studies the pathology and microbiology of oral diseases and disorders  their impact on oral tissues  and diagnostic methods. ,graduation ,Bachelor of Dental Surgery (BDS)
Oral Medicine and Radiology , Focuses on the diagnosis and medical management of oral diseases  including diagnostic imaging techniques like X rays and imaging modalities like CT scans. ,graduation ,Bachelor of Dental Surgery (BDS)
Oral and Maxillofacial Surgery , Deals with surgical procedures in the oral cavity and facial region  including extractions  trauma management  and minor oral surgeries. ,graduation ,Bachelor of Dental Surgery (BDS)
Conservative Dentistry and Endodontics , Focuses on preserving natural teeth through restorative procedures  root canal treatments  and aesthetic dentistry. ,graduation ,Bachelor of Dental Surgery (BDS)
Prosthodontics and Crown and Bridge , Specializes in restoring and replacing missing teeth and oral structures  including dentures  crowns  and bridges. ,graduation ,Bachelor of Dental Surgery (BDS)
Periodontology , Studies the supporting structures of teeth  including gums and bone  and the prevention and treatment of gum diseases. ,graduation ,Bachelor of Dental Surgery (BDS)
Orthodontics and Dentofacial Orthopaedics , Focuses on correcting misaligned teeth and jaws  including the use of braces and other appliances. ,graduation ,Bachelor of Dental Surgery (BDS)
Paediatric and Preventive Dentistry , Provides dental care for children and emphasizes preventive measures. ,graduation ,Bachelor of Dental Surgery (BDS)
Public Health Dentistry (Community Dentistry) , Focuses on promoting oral health at the community level  including epidemiology  biostatistics  and public health initiatives ,graduation ,Bachelor of Dental Surgery (BDS)
General Medicine , Covers the diagnosis  treatment  and prognosis of various medical conditions  including understanding the symptoms and signs to provide appropriate medication. ,graduation ,Bachelor of Dental Surgery (BDS)
General Surgery , Covers basic surgical principles  wound management  inflammation  and managing conditions like abscesses and shock. ,graduation ,Bachelor of Dental Surgery (BDS)
Padartha Vigyan and Ayurved Itihas (Fundamental Principles and History of Ayurveda) , Introduces the philosophical background  basic principles (like Panchamahabhuta and Tridosha theory)  and the historical development of Ayurveda.  ,graduation ,Bachelor of Ayurvedic Medicine and Surgery (BAMS)
Sanskrit , Teaches the classical language in which most ancient Ayurvedic texts are written  allowing students to access original scriptures. ,graduation ,Bachelor of Ayurvedic Medicine and Surgery (BAMS)
Kriya Sharir (Human Physiology) , Focuses on the functions and mechanisms of the human body  incorporating both Ayurvedic (Doshas  Dhatus  Malas) and modern physiological perspectives. ,graduation ,Bachelor of Ayurvedic Medicine and Surgery (BAMS)
Rachana Sharir (Human Anatomy) , Studies the structure of the human body  including gross anatomy  microanatomy  embryology  and genetics  from both Ayurvedic and modern viewpoints. ,graduation ,Bachelor of Ayurvedic Medicine and Surgery (BAMS)
Samhita Adhyayan (Study of Ayurveda Classical Text) , Begins the study of classical Ayurvedic texts  such as portions of Ashtanga Hridaya. ,graduation ,Bachelor of Ayurvedic Medicine and Surgery (BAMS)
Dravyaguna Vigyan (Pharmacology and Materia Medica  Herbal) , Studies the properties  actions  and uses of medicinal plants and herbs in Ayurveda. ,graduation ,Bachelor of Ayurvedic Medicine and Surgery (BAMS)
Rasashastra Evam Bhaishajyakalpana (Ayurvedic Pharmaceutics and Iatrochemistry) , Focuses on the preparation of Ayurvedic medicines using minerals  metals  and herbal formulations  along with pharmaceutical techniques and equipment. ,graduation ,Bachelor of Ayurvedic Medicine and Surgery (BAMS)
Roga Nidan Evam Vikriti Vigyan (Methods of Diagnosis  Diagnostic Procedures and Pathology) , Covers the understanding of diseases and disorders  Ayurvedic diagnostic methods (Pancha Nidana  Ashtavidha Pariksha)  and basic modern pathology principles. ,graduation ,Bachelor of Ayurvedic Medicine and Surgery (BAMS)
Agad Tantra Evam Vidhi Vaidyaka (Clinical Toxicology and Medical Jurisprudence) , Studies toxicology (poisons and their treatment) and the legal aspects of medical practice  including forensic medicine. ,graduation ,Bachelor of Ayurvedic Medicine and Surgery (BAMS)
Samhita Adhyayan  (Study of Ayurveda Classical Text) , Continues the study of Ayurvedic classical texts  often focusing on parts of Charaka Samhita. ,graduation ,Bachelor of Ayurvedic Medicine and Surgery (BAMS)
Swasthavritta Evam Yoga (Lifestyle Management  Public Health and Yoga) , Deals with preventive medicine  hygiene  dietetics  lifestyle modification  and the principles and practice of Yoga for maintaining health. ,graduation ,Bachelor of Ayurvedic Medicine and Surgery (BAMS)
Kayachikitsa (Internal Medicine including Manasa Roga  Rasayana and Vajikarana) , Covers general medicine in Ayurveda  including treatment of internal diseases  mental health (psychiatry)  rejuvenation therapies (Rasayana)  and reproductive health (Vajikarana). ,graduation ,Bachelor of Ayurvedic Medicine and Surgery (BAMS)
Panchakarma and Upakarma (Therapeutic Procedural Management) , Focuses on Ayurvedic detoxification and rejuvenation therapies  including procedures like Vamana  Virechana  Basti  Nasya  and Raktamokshana. ,graduation ,Bachelor of Ayurvedic Medicine and Surgery (BAMS)
Shalya Tantra (General Surgery) , Deals with Ayurvedic surgical principles and techniques  integrating basic modern surgical understanding. ,graduation ,Bachelor of Ayurvedic Medicine and Surgery (BAMS)
Shalakya Tantra (Ophthalmology  Oto Rhino Laryngology & Oro Dentistry) , Focuses on the diagnosis and treatment of diseases related to the head  ear  nose  throat  and eyes from an Ayurvedic perspective  also including basic dentistry concepts. ,graduation ,Bachelor of Ayurvedic Medicine and Surgery (BAMS)
Prasuti Tantra Evam Stree Roga (Gynecology and Obstetrics) , Covers women's health  including menstruation  pregnancy  childbirth  and diseases of the female reproductive system from an Ayurvedic viewpoint  often incorporating relevant modern concepts. ,graduation ,Bachelor of Ayurvedic Medicine and Surgery (BAMS)
Kaumarabhritya (Pediatrics) , Focuses on child health care from birth to adolescence  covering growth  development  nutrition  and diseases common in children from an Ayurvedic perspective. ,graduation ,Bachelor of Ayurvedic Medicine and Surgery (BAMS)
Samhita Adhyayan (Study of Ayurveda Classical Text) , Continues the in depth study of important Ayurvedic texts. ,graduation ,Bachelor of Ayurvedic Medicine and Surgery (BAMS)
Atyaikachikitsa (Emergency Medicine) , Provides knowledge about managing medical emergencies  integrating Ayurvedic and relevant modern approaches. ,graduation ,Bachelor of Ayurvedic Medicine and Surgery (BAMS)
Research Methodology and Medical statistics , Teaches the principles of conducting medical research and analyzing data  crucial for evidence based practice and further studies ,graduation ,Bachelor of Ayurvedic Medicine and Surgery (BAMS)
Homoeopathic Pharmacy , Studies the history  development  preparation  standardization  and dispensing of homoeopathic medicines. ,graduation ,Bachelor of Homoeopathic Medicine and Surgery (BHMS) 
Anatomy (including Histology and Embryology) , Covers the detailed structure of the human body  including gross anatomy  microscopic anatomy (histology)  and the development of an embryo. ,graduation ,Bachelor of Homoeopathic Medicine and Surgery (BHMS)
Physiology (including Biochemistry) , Focuses on the functions and mechanisms of the human body systems and the chemical processes within living organisms. ,graduation ,Bachelor of Homoeopathic Medicine and Surgery (BHMS)
Homoeopathic Materia Medica , Describes the source  preparation  and characteristic symptoms produced by various homoeopathic drugs  used for therapeutic prescription. ,graduation ,Bachelor of Homoeopathic Medicine and Surgery (BHMS)
Organon of Medicine and Principles of Homoeopathic Philosophy , Studies the fundamental laws  principles  and philosophy of Homoeopathy as laid down by its founder  Dr. Samuel Hahnemann. ,graduation ,Bachelor of Homoeopathic Medicine and Surgery (BHMS)
Psychology , Provides a basic understanding of human emotions and behavior  which is important for case taking and understanding the patient as a whole. ,graduation ,Bachelor of Homoeopathic Medicine and Surgery (BHMS)
Pathology and Microbiology (including Parasitology  Bacteriology  and Virology) , Examines disease processes  structural abnormalities caused by diseases  and the role of microorganisms and parasites in health and illness. ,graduation ,Bachelor of Homoeopathic Medicine and Surgery (BHMS)
Forensic Medicine & Toxicology , Applies medical knowledge to legal issues and studies the effects of poisons on the human body. ,graduation ,Bachelor of Homoeopathic Medicine and Surgery (BHMS)
Homoeopathic Materia Medica , Continues the in depth study of homoeopathic remedies and their application. ,graduation ,Bachelor of Homoeopathic Medicine and Surgery (BHMS)
Organon of Medicine and Principles of Homoeopathic Philosophy , Continues the study of homoeopathic principles and their application in clinical practice. ,graduation ,Bachelor of Homoeopathic Medicine and Surgery (BHMS)
Practice of Medicine with Homoeopathic Therapeutics , Covers the diagnosis  prognosis  and homoeopathic treatment of various general medical conditions and systemic diseases  including skin  psychiatric  and infectious illnesses. ,graduation ,Bachelor of Homoeopathic Medicine and Surgery (BHMS)
Surgery (including ENT  Eye  Dental  and Homoeo Therapeutics) , Deals with surgical concepts  applied anatomy  and basic surgical methods from a general perspective  along with homoeopathic management in related conditions. ,graduation ,Bachelor of Homoeopathic Medicine and Surgery (BHMS)
Obstetrics & Gynaecology Infant Care and Homoeo Therapeutics , Covers women's health  pregnancy  childbirth  infant care  and related diseases  including their homoeopathic management. ,graduation ,Bachelor of Homoeopathic Medicine and Surgery (BHMS)
Community Medicine , Focuses on public health  preventive medicine  hygiene  epidemiology  and biostatistics  emphasizing the social aspects of health and disease. ,graduation ,Bachelor of Homoeopathic Medicine and Surgery (BHMS)
Homoeopathic Materia Medica , Further study of the Materia Medica for accurate prescribing and understanding drug substances. ,graduation ,Bachelor of Homoeopathic Medicine and Surgery (BHMS)
Organon of Medicine & Homoeopathic Philosophy , Advanced study of homoeopathic philosophy and principles for effective clinical practice. ,graduation ,Bachelor of Homoeopathic Medicine and Surgery (BHMS)
Repertory , Teaches the methodology and techniques of using the Homoeopathic Repertory  a crucial tool for selecting the appropriate remedy based on symptoms ,graduation ,Bachelor of Homoeopathic Medicine and Surgery (BHMS)
Paper 1 Accounting (100 Marks) , This paper covers the fundamental principles and practices of accounting. ,graduation ,Bachelor of Computer Applications (BCA)
Paper 2 Business Laws (100 Marks) , Focuses on various business laws relevant to business operations. ,graduation ,Bachelor of Computer Applications (BCA)
Paper 3 Quantitative Aptitude (100 Marks) , This paper is divided into three parts  Business Mathematics  Logical Reasoning  and Statistics. ,graduation ,Bachelor of Computer Applications (BCA)
Paper 4 Business Economics (100 Marks) , Covers economic principles in a business context ,graduation ,Bachelor of Computer Applications (BCA)
Paper 1 Advanced Accounting (100 Marks) , This subject includes the application of accounting standards  preparation and presentation of financial statements  and advanced accounting topics. ,graduation ,Bachelor of Computer Applications (BCA)
Paper 2 Corporate and Other Laws (100 Marks) , This paper is split into two parts  Corporate Law and Other Laws  including aspects of the Companies Act. ,graduation ,Bachelor of Computer Applications (BCA)
Paper 3 Taxation (100 Marks) , This paper includes two sections  Income Tax Law and Goods and Services Tax (GST). ,graduation ,Bachelor of Computer Applications (BCA)
Paper 4 Cost and Management Accounting (100 Marks) , Covers the principles and applications of cost and management accounting. ,graduation ,Bachelor of Computer Applications (BCA)
Paper 5 Auditing and Ethics (100 Marks) , Focuses on auditing principles  procedures  and professional ethics. ,graduation ,Bachelor of Computer Applications (BCA)
Paper 6 Financial Management and Strategic Management (100 Marks) , This paper is divided into two sections  Financial Management and Strategic Management. ,graduation ,Bachelor of Computer Applications (BCA)
Paper 1 Financial Reporting (100 Marks) , Covers advanced concepts in financial reporting  including Indian Accounting Standards (Ind AS). ,graduation ,Bachelor of Computer Applications (BCA)
Paper 2 Advanced Financial Management (100 Marks) , Deals with financial policy  corporate strategy  risk management  and capital budgeting. ,graduation ,Bachelor of Computer Applications (BCA)
Paper 3 Advanced Auditing  Assurance and Professional Ethics (100 Marks) , Focuses on quality control  general auditing principles  risk assessment  and professional ethics. ,graduation ,Bachelor of Computer Applications (BCA)
Paper 4 Direct Tax Laws & International Taxation (100 Marks) , Covers direct tax laws and the taxation of international transactions. ,graduation ,Bachelor of Computer Applications (BCA)
Paper 5 Indirect Tax Laws (100 Marks) , This paper is divided into two parts  Goods and Services Tax (GST) and Customs & FTP. ,graduation ,Bachelor of Computer Applications (BCA)
Paper 6 Integrated Business Solutions (Multi Disciplinary Case Study With Strategic Management) (100 Marks) , This paper is case study based and covers corporate and economic laws  as well as strategic cost and performance management ,graduation ,Bachelor of Computer Applications (BCA)
Basic Sciences , Physics  Chemistry  and Biology/Mathematics are often prerequisites or foundational subjects  providing the core scientific knowledge for agricultural studies. ,graduation ,agriculture
Engineering Mathematics , Focuses on mathematical methods and tools relevant to agricultural engineering and data analysis. ,graduation ,agriculture
Computer Applications/Agricultural Informatics , Introduces computer use and data management in agriculture. ,graduation ,agriculture
English Language and Communication Skills , Develops communication skills essential for agricultural professionals. ,graduation ,agriculture
Rural Sociology & Educational Psychology , Explores the social and educational aspects of rural communities involved in agriculture. ,graduation ,agriculture
Agricultural Heritage , Covers the history and traditions of agriculture. ,graduation ,agriculture
Agronomy , Deals with crop production  soil fertility  water management  and weed control. Topics include principles of crop production  field crop management (Kharif and Rabi)  water management (including micro irrigation)  and weed management. ,graduation ,agriculture
Soil Science , Studies soil composition  properties  classification  fertility  and management. Subjects include fundamentals of soil science  soil chemistry  soil fertility and nutrient management  and problematic soils. ,graduation ,agriculture
Horticulture , Focuses on the cultivation of fruits  vegetables  flowers  and ornamental plants  along with landscaping. Subjects include production technology for fruit  vegetable  and flower crops. ,graduation ,agriculture
Plant Pathology , Studies plant diseases and their management. Subjects include plant pathogens  principles of plant pathology  and management of diseases affecting field and horticultural crops. ,graduation ,agriculture
Agricultural Entomology , Deals with insects  particularly pests affecting crops  and their management. Subjects include insect morphology and systematics  ecology  integrated pest management  and beneficial insects. ,graduation ,agriculture
Genetics and Plant Breeding , Focuses on heredity  plant improvement through breeding techniques  and genetic engineering. Subjects include principles of genetics and plant breeding  seed technology  and crop improvement. ,graduation ,agriculture
Agricultural Economics , Covers the economic aspects of agriculture  including farm management  agribusiness  and marketing. Subjects include principles of agricultural economics  agricultural finance and cooperation  and agricultural marketing. ,graduation ,agriculture
Agricultural Engineering , Applies engineering principles to design and manage agricultural machinery  irrigation systems  and structures. Subjects include farm machinery and power  soil and water conservation engineering  and renewable energy. ,graduation ,agriculture
Livestock and Poultry Management , Covers the care and management of farm animals and poultry. ,graduation ,agriculture
Agricultural Microbiology , Studies microorganisms relevant to soil fertility and plant health. ,graduation ,agriculture
Environmental Science and Disaster Management , Addresses environmental issues and disaster preparedness in agriculture. ,graduation ,agriculture
Agricultural Extension Education , Focuses on disseminating agricultural knowledge to farmers and rural communities. ,graduation ,agriculture
Plant Biochemistry and Biotechnology , Explores the chemical processes within plants and the use of biotechnology for crop improvement ,graduation ,agriculture
Core Courses , Classical Mechanics  Electromagnetism  Thermodynamics and Statistical Mechanics  Quantum Mechanics  Optics  Modern Physics  Solid State Physics. ,graduation ,physics
Mathematics Courses , Calculus  Linear Algebra  Differential Equations  Complex Analysis. ,graduation ,physics
Laboratory Courses , Mechanics Lab  Electricity and Magnetism Lab  Waves and Optics Lab  Electronics and Instrumentation Lab. ,graduation ,physics
Skill Enhancement Courses , Physics Workshop Skills  Computational Physics Skills  Electrical circuit network Skills. ,graduation ,physics
Elective Courses , Geophysics  Biophysics  Medical Physics  Nanotechnology  Environmental Physics  Computational Physics  Robotics  Artificial Intelligence  Machine Learning  Data Analysis ,graduation ,physics
Inorganic Chemistry , Atomic Structure  Chemical Bonding  P Block Elements  Chemistry of Noble Gases  Periodic Properties  Bioinorganic Chemistry. ,graduation ,chemistry
Organic Chemistry , Structure and bonding  Stereochemistry  Alkanes and Cycloalkanes  Alkenes  Cycloalkenes  Dienes  and Alkynes  Aromatic compounds  Amines. ,graduation ,chemistry
Physical Chemistry , Gaseous State  Liquid State  Solid State  Ionic and Phase Equilibria  Chemical Kinetics  Surface Chemistry  Chemical Thermodynamics. ,graduation ,chemistry
Analytical Chemistry , Introduces techniques for detecting  identifying  characterizing  and quantifying chemical compounds  including methods like Chromatography. ,graduation ,chemistry
Elective Subjects , Application of Computer in Chemistry  Green Chemistry  Polymer Chemistry  Industrial Chemicals and the Environment ,graduation ,chemistry
Core Subjects , Algebra  Differential Equations  Real Analysis  Linear Algebra  Probability and Statistics  Geometry. ,graduation ,Mathematics
Skill Enhancement Courses , Logic and Sets  Analytical Geometry  Integral Calculus  Vector Calculus. ,graduation ,Mathematics
Elective Subjects , Numerical Analysis  Vector Calculus  Graph Theory  Mechanics  Statistics ,graduation ,Mathematics
Core Subjects , Cell Biology  Genetics  Biomolecules  Plant Diversity  Animal Diversity  Biostatistics and Computer Applications. ,graduation ,biology
Optional Subjects , Botany  Zoology  Plant Physiology  Plant diversity  Molecular biology  Ecology  Environmental Science.  ,graduation ,biology
Core Subjects , Ecology  Environmental Biology  Geology  Physics  Soil Science  Chemistry  and more. ,graduation ,environmental science
Elective Subjects , Climate Change  Renewable Energy  Wildlife Management  GIS  Disaster Management.  ,graduation ,environmental science
Introductory Microeconomics , Deals with the behavior of individual decision makers like households and firms  focusing on topics like demand  supply  markets  consumer theory  and production costs. ,graduation ,economics
Introductory Macroeconomics , Studies the economy as a whole  focusing on aggregate concepts like national income  GDP  inflation  unemployment  and economic growth. ,graduation ,economics
Mathematical Methods for Economics , Applies mathematical techniques (Calculus  Linear Algebra  Differential Equations  Optimization) to model and analyze economic theories and problems. ,graduation ,economics
Statistical Methods for Economics / Economic Statistics , Focuses on statistical concepts and techniques for data analysis and interpretation in economics  including probability  sampling  and hypothesis testing. ,graduation ,economics
Indian Economy , Analyzes the performance  policies  and challenges of the Indian economy  covering topics like economic development post independence  population dynamics  growth and distribution  and sector wise performance in agriculture  industry  and services. ,graduation ,economics
Development Economics , Focuses on the economic  social  and political conditions in developing countries  and strategies to promote economic growth  reduce poverty and inequality  and improve living standards. ,graduation ,economics
Intermediate Microeconomics , Delves deeper into consumer and producer theory  market structures  general equilibrium  market failures  and game theory. ,graduation ,economics
Intermediate Macroeconomics , Explores advanced macroeconomic models and policy issues  including economic growth  fiscal and monetary policy  and different schools of macroeconomic thought. ,graduation ,economics
Introductory Econometrics , Applies statistical methods to empirical economic research  covering topics like linear regression models  hypothesis testing  and econometric software packages. ,graduation ,economics
Financial Economics , Covers financial markets  institutions  instruments  investments  and corporate finance. ,graduation ,economics
International Economics , Focuses on international trade theories  trade policy  foreign exchange markets  and international macroeconomic policy. ,graduation ,economics
Public Economics / Public Finance , Studies government intervention in the economy  including taxation  public expenditure  fiscal policy  and public debt. ,graduation ,economics
Environmental Economics , Analyzes environmental issues from an economic perspective  covering topics like externalities  environmental policy  natural resource economics  and sustainable development. ,graduation ,economics
Labor Economics , Focuses on labor markets  wages  employment  and related policies. ,graduation ,economics
Economics of Health and Education , Examines the role and impact of health and education in economic development and related policies. ,graduation ,economics
Economic History of India , Traces the evolution of the Indian economy through historical periods  analyzing key trends and policy debates. ,graduation ,economics
Comparative Economic Development , Studies the economic development trajectories of different countries  analyzing the role of state  institutions  and various factors influencing growth. ,graduation ,economics
Behavioral Economics , Integrates insights from psychology to understand how psychological factors influence economic decision making. ,graduation ,economics
Applied Econometrics , Focuses on the practical application of econometric techniques to real world economic data. ,graduation ,economics
History of Economic Thought , Traces the evolution of economic ideas and theories throughout history. ,graduation ,economics
Research Methodology , Focuses on the methods and techniques used to conduct research in economics. ,graduation ,economics
Projects/Dissertations , Provides students with an opportunity to undertake independent research on a specific economic topic. ,graduation ,economics
Internships , Offers practical experience in economics related fields like finance  research  or policy analysis ,graduation ,economics
Accountancy , Focuses on the principles and practices of financial accounting  including recording  classifying  and reporting financial transactions. ,graduation ,commerce
Business Studies , Explores the principles of business management  organizational structure  and marketing strategies. ,graduation ,commerce
Economics , Introduces concepts related to resource allocation and economic systems  covering microeconomics and macroeconomics. ,graduation ,commerce
English , Develops essential communication skills ,graduation ,commerce
Mathematics , Essential for careers in finance  economics  and data analysis  covering topics like algebra  calculus  and statistics. ,graduation ,commerce
Informatics Practices , Focuses on computer applications and software  such as database management and web development. ,graduation ,commerce
Entrepreneurship , Explores setting up and running a business  including business planning and market assessment. ,graduation ,commerce
Physical Education , Emphasizes health and fitness. ,graduation ,commerce
Computer Science , Focuses on programming and computational theory. ,graduation ,commerce
Home Science , Covers aspects of home management and nutrition. ,graduation ,commerce
Psychology , Offers insights into human behavior. ,graduation ,commerce
Fine Arts , Encompasses creative disciplines. ,graduation ,commerce
Legal Studies , Introduces the legal aspects of business. ,graduation ,commerce
Other Language , Provides an option to study a foreign language. ,graduation ,commerce
Principles of Management , Introduction to the fundamental theories  functions  and practices of management. ,graduation ,management
Business Economics (Microeconomics & Macroeconomics) , Studies the behavior of individual economic agents and the overall economy. ,graduation ,management
Financial Accounting , Covers basic accounting concepts  preparation of financial statements  and financial analysis. ,graduation ,management
Business Mathematics & Statistics / Quantitative Methods , Applies mathematical and statistical tools for data analysis and decision making in business. ,graduation ,management
Business Communication , Focuses on developing effective communication skills for professional settings.  ,graduation ,management
Organizational Behavior , Studies individual and group behavior within organizations and its impact on performance. ,graduation ,management
Marketing Management , Covers the principles of marketing strategies  consumer behavior  and market research. ,graduation ,management
Human Resource Management (HRM) , Focuses on managing the workforce  including recruitment  training  performance management  and employee relations. ,graduation ,management
Financial Management , Deals with financial decision making  planning  and control within organizations. ,graduation ,management
Operations Management , Covers production planning  supply chain management  logistics  and process optimization. ,graduation ,management
Business Law , Introduces the legal aspects affecting business operations and transactions. ,graduation ,management
Business Research Methods , Teaches methodologies for conducting research in business and analyzing data. ,graduation ,management
Management Information Systems (MIS) , Focuses on the use of information technology in business processes and decision making. ,graduation ,management
Strategic Management , Deals with developing and implementing business strategies for achieving organizational goals. ,graduation ,management
Entrepreneurship , Explores the process of starting and managing new businesses  fostering innovation and risk taking. ,graduation ,management
Business Ethics and Corporate Social Responsibility , Examines ethical decision making and the social responsibilities of businesses. ,graduation ,management
Finance , Investment analysis  portfolio management  international finance  mergers & acquisitions. ,graduation ,management
Marketing , Consumer behavior  market research  branding  advertising  digital marketing  sales management. ,graduation ,management
Human Resource Management , Talent acquisition  training & development  compensation management  industrial relations. ,graduation ,management
Operations Management , Supply chain management  quality control  project management  logistics. ,graduation ,management
International Business , Global market dynamics  cross cultural management  international trade. ,graduation ,management
Business Analytics , Data analysis  statistical methods  predictive modeling. ,graduation ,management
Information Technology Management , Managing information systems and IT infrastructure within businesses. ,graduation ,management
Digital Marketing , Online marketing channels  SEO  social media  content marketing ,graduation ,management
Project Work/Capstone Project , Applying learned skills to solve real world business problems. ,graduation ,management
Internships , Gaining practical experience in relevant industries. ,graduation ,management
Case Studies , Analyzing and resolving complex business issues. ,graduation ,management
Soft Skills and Personality Development , Training in communication  leadership  teamwork  and other soft skills ,graduation ,management
Constitutional Law , Explores the framework of the Indian Constitution  fundamental rights  directive principles  and the structure of the government. ,graduation ,LLB law
Contract Law , Deals with the formation  enforceability  and breach of agreements  including the Indian Contract Act  1872. ,graduation ,LLB law
Criminal Law (Indian Penal Code  IPC) , Familiarizes students with various offenses  general principles of criminal liability  punishments  and defenses under the Indian Penal Code. ,graduation ,LLB law
Law of Torts , Covers civil wrongs  negligence  defamation  tortious liability  defenses  and consumer protection laws. ,graduation ,LLB law
Property Law , Studies the legal ownership  transfer  and use of property  including concepts like sale  mortgage  and lease under the Transfer of Property Act  1882. ,graduation ,LLB law
Family Law , Focuses on laws related to marriage  divorce  adoption  maintenance  and succession under various personal laws (Hindu  Muslim  Christian). ,graduation ,LLB law
Jurisprudence & Legal Theory , Analyzes the fundamental concepts of law  its origins  interpretations  and philosophical underpinnings. ,graduation ,LLB law
Administrative Law , This area of law examines the legal regulation of public administration. ,graduation ,LLB law
Law of Evidence , This subject focuses on the admissibility of evidence and proof in court trials. ,graduation ,LLB law
Civil Procedure Code (CPC) & Limitation Act , Covers the stages and procedures involved in civil cases  including the process of filing  conducting  and appealing civil suits. ,graduation ,LLB law
Criminal Procedure Code (CrPC) , Deals with the procedures for investigating  prosecuting  and trying criminal cases. ,graduation ,LLB law
Public International Law , This subject helps understand the principles governing relations between nations. ,graduation ,LLB law
Labor Law & Industrial Relations , Introduces the structure of industrial relations in India  including key legislation like the Trade Union Act  1926  and the Industrial Dispute Act  1947. ,graduation ,LLB law
Company Law , Deals with the legal aspects of company formation  management  corporate governance  and winding up under the Companies Act  2013. ,graduation ,LLB law
Environmental Law , Focuses on legal frameworks for environmental protection and pollution control. ,graduation ,LLB law
Taxation Law , Covers direct and indirect taxes  including income tax principles and the Goods and Services Tax (GST). ,graduation ,LLB law
Intellectual Property Law (IPL) , This area of law examines patents  trademarks  and copyrights. ,graduation ,LLB law
Professional Ethics , Covers the ethical obligations and conduct of legal practitioners. ,graduation ,LLB law
Banking Laws , Explores banking regulations and the legal framework for financial institutions. ,graduation ,LLB law
Land Laws , Investigates private law rules affecting property ownership and land use. ,graduation ,LLB law
Legal Language , Enhances proficiency in legal terminology and drafting skills ,graduation ,LLB law
Cyber Law , This subject addresses legal issues arising from technology and the internet. ,graduation ,LLB law
Women and Law , Examines legal issues affecting women and gender justice. ,graduation ,LLB law
Media Law , Covers legal frameworks governing media  communication  and censorship. ,graduation ,LLB law
Competition Law , This area explores the legal framework for promoting fair competition. ,graduation ,LLB law
International Trade Law , Focuses on the legal aspects of international trade and commerce. ,graduation ,LLB law
Human Rights Law , This subject explores international and domestic laws protecting fundamental human rights. ,graduation ,LLB law
Insurance Law , Concerns the regulation of insurance  policies  and claims. ,graduation ,LLB law
Criminology and Penology , Studies the causes of crime  criminal behavior  and the principles of punishment. ,graduation ,LLB law
Alternative Dispute Resolution (ADR) , Introduces methods like arbitration  conciliation  and mediation for resolving disputes outside traditional court litigation. ,graduation ,LLB law
Introduction to Mass Communication , Covers the history  theories  and concepts of mass communication and its various forms  including print  broadcast  and digital media. ,graduation ,mass media and communication
Media Laws and Ethics , Examines the legal and ethical framework governing media practice  covering freedom of speech  copyright law  libel  defamation  and ethical considerations. ,graduation ,mass media and communication
Reporting and Editing , Focuses on news writing  feature writing  and editing techniques for various media platforms  teaching students how to gather  assess  create  and present news and information effectively. ,graduation ,mass media and communication
Mass Communication Theories , Explores various theories that explain the effects of media on individuals and society  such as Agenda Setting Theory  Cultivation Theory  and Uses and Gratifications Theory. ,graduation ,mass media and communication
Media and Society , Examines the role of media in shaping public opinion  influencing social change  and the relationship between media and democracy. ,graduation ,mass media and communication
Introduction to Journalism , Provides an overview of the history  principles  and practices of journalism. ,graduation ,mass media and communication
Introduction to Advertising , Covers the basics of advertising  including types of advertising  media planning  creative strategies  and campaign management. ,graduation ,mass media and communication
Public Relations and Corporate Communication , Focuses on building and maintaining positive relationships with stakeholders and managing reputation. ,graduation ,mass media and communication
Media Management , Covers the business side of media organizations  including budgeting  staffing  and strategic planning. ,graduation ,mass media and communication
Communication Theories , Studies the fundamental principles and models of communication. ,graduation ,mass media and communication
Media Research Methods , Teaches techniques for conducting research on media effects  audiences  and content. ,graduation ,mass media and communication
Indian Constitution and Media Laws , Focuses on the legal framework governing media within the Indian context. ,graduation ,mass media and communication
